target,horizon,team_id,model_id,model,mean_wis,mean_ae,mean_rel_wis_log2,n_units,rank
ARI incidence,4,ECDC,soca_simplex,ECDC-soca_simplex,431.7694808486567,659.9904248096902,0.28630598658126133,13,10
ARI incidence,4,ISI,FluABCaster,ISI-FluABCaster,462.7086465781605,541.4028890974366,0.2678006449038836,26,11
ARI incidence,4,ISI,RespiVAR,ISI-RespiVAR,161.65334983657428,280.89375000000024,0.038916556516279524,16,12
ARI incidence,4,respicast,quantileBaseline,respicast-quantileBaseline,391.40143975515554,624.4582027164156,0,32,13
ARI incidence,4,ISI,LSTFlu,ISI-LSTFlu,2448.573923465598,3135.598517494326,-1.3369445148757981,26,14
ARI incidence,4,ISI,GLEAM,ISI-GLEAM,569.2716404891305,613.3175,-1.482301229808688,16,15
ILI incidence,1,ISI,FluBcast,ISI-FluBcast,170.02153389288128,222.99914278724495,0.34144483078053933,86,1
ILI incidence,1,respicast,hubEnsemble,respicast-hubEnsemble,146.1148344501713,226.90122210070618,0.3003156943683096,117,2
ILI incidence,1,ISI,FluABCaster,ISI-FluABCaster,206.15170184079724,237.1730076090418,0.20727083424252826,92,3
ILI incidence,1,ItaLuxColab,EpiEKF,ItaLuxColab-EpiEKF,157.58746640925278,222.2593440631762,0.17864536649373197,116,4
ILI incidence,1,MIGHTE,jointGBM,MIGHTE-jointGBM,192.1170441611179,300.054568814703,0.1673045368028495,80,5
ILI incidence,1,ISI,RespiVAR,ISI-RespiVAR,198.30528366928138,305.62025316455697,0.07392057624600566,79,6
ILI incidence,1,safinea,PRFM,safinea-PRFM,207.92585074044973,270.5247146044109,0.06939426450870848,115,7
ILI incidence,1,ItaLuxColab,EpiNetEKF,ItaLuxColab-EpiNetEKF,195.91863583960836,307.7812592171709,0.06810935115608803,104,8
ILI incidence,1,ECDC,soca_simplex,ECDC-soca_simplex,166.62159469296367,251.72313509675857,0.0014485979461892021,91,9
ILI incidence,1,respicast,quantileBaseline,respicast-quantileBaseline,159.50502642942448,247.1139910512488,0,117,10
ILI incidence,1,QMUL,SEIR,QMUL-SEIR,161.81793208826193,219.50508238825358,-0.002420230308778345,74,11
ILI incidence,1,ECDC,SARIMA,ECDC-SARIMA,163.4254951643669,268.2693945263482,-0.038800642997960315,75,12
ILI incidence,1,MRC_GIDA,Prophet,MRC_GIDA-Prophet,148.121436387536,256.67666156168445,-0.07795205909899426,19,13
ILI incidence,1,Chronos,Chronos2,Chronos-Chronos2,141.88963261475683,220.09275485142666,-0.08395526134027585,44,14
ILI incidence,1,QMUL,SEIR_agumented,QMUL-SEIR_agumented,164.0356184632042,215.81419046443335,-0.12140506282905797,59,15
ILI incidence,1,QMUL,ARIMA,QMUL-ARIMA,268.5878119892453,355.7875108588033,-0.1411330344881983,75,16
ILI incidence,1,ISI,GLEAM,ISI-GLEAM,182.87876139130435,223.6214,-0.28531084771308196,50,17
ILI incidence,1,ISI,LSTFlu,ISI-LSTFlu,384.3254580055489,470.18959169994855,-0.4147809887832797,94,18
ILI incidence,1,RIVM,KFdlm,RIVM-KFdlm,1394.523879526826,487.7228352455792,-0.563449211061809,113,19
ILI incidence,1,MRC_GIDA,TiDE,MRC_GIDA-TiDE,242.07854224473235,351.5627313010525,-1.181358849528229,19,20
ILI incidence,1,MRC_GIDA,NBEATS,MRC_GIDA-NBEATS,305.84951571918646,340.4158687481668,-1.4713680991892184,19,21
ILI incidence,1,MRC_GIDA,NHiTS,MRC_GIDA-NHiTS,213.04773381825643,292.3913577231814,-1.5065002944607395,19,22
ILI incidence,1,NotreDame,Rt_cocirc,NotreDame-Rt_cocirc,426.91704048400334,446.3490566037736,-1.8704882080259924,53,23
ILI incidence,2,ISI,FluABCaster,ISI-FluABCaster,274.92336853304704,316.6888447440449,0.4849431878321131,75,1
ILI incidence,2,respicast,hubEnsemble,respicast-hubEnsemble,227.60312334812073,342.2886927484126,0.4162837333460973,91,2
ILI incidence,2,MRC_GIDA,Prophet,MRC_GIDA-Prophet,198.03864093998658,357.08847374890564,0.37372732877036424,18,3
ILI incidence,2,QMUL,SEIR,QMUL-SEIR,243.19706666967298,302.4058425948668,0.365103221942675,61,4
ILI incidence,2,ISI,FluBcast,ISI-FluBcast,254.56216115847587,347.07379522739944,0.3585413597637308,69,5
ILI incidence,2,ItaLuxColab,EpiEKF,ItaLuxColab-EpiEKF,208.30274860260695,308.41382704186157,0.2874599432089138,90,6
ILI incidence,2,safinea,PRFM,safinea-PRFM,285.96658698608394,419.49404815300454,0.21611736359724482,89,7
ILI incidence,2,MIGHTE,jointGBM,MIGHTE-jointGBM,214.6993220263665,325.9079525419776,0.16034882917609966,63,8
ILI incidence,2,ECDC,soca_simplex,ECDC-soca_simplex,238.4026129056379,323.8551522585219,0.13492646430624872,66,9
ILI incidence,2,ISI,RespiVAR,ISI-RespiVAR,327.8831510350607,549.0741935483869,0.12827588602327286,62,10
ILI incidence,2,ECDC,SARIMA,ECDC-SARIMA,224.65783900262394,344.40812162426573,0.11855093633166847,58,11
ILI incidence,2,Chronos,Chronos2,Chronos-Chronos2,206.9547450405456,353.3837799683491,0.09678501586133754,19,12
ILI incidence,2,ItaLuxColab,EpiNetEKF,ItaLuxColab-EpiNetEKF,278.4917181505819,474.9038218492231,0.07357369187200932,81,13
ILI incidence,2,QMUL,SEIR_agumented,QMUL-SEIR_agumented,263.70378694104244,326.40611678424096,0.03690967737694484,45,14
ILI incidence,2,respicast,quantileBaseline,respicast-quantileBaseline,206.7221601245015,318.5353098280736,0,91,15
ILI incidence,2,MRC_GIDA,TiDE,MRC_GIDA-TiDE,300.9883437123147,406.9108773285803,-0.06773579415347915,18,16
ILI incidence,2,QMUL,ARIMA,QMUL-ARIMA,350.54134908599946,447.5954303074897,-0.08130307752916158,59,17
ILI incidence,2,MRC_GIDA,NBEATS,MRC_GIDA-NBEATS,377.25987072445747,404.96911660601467,-0.10212738232144791,18,18
ILI incidence,2,ISI,GLEAM,ISI-GLEAM,245.43994313501145,282.84763157894736,-0.12579957151921103,38,19
ILI incidence,2,MRC_GIDA,NHiTS,MRC_GIDA-NHiTS,302.02923461306915,374.4582946797605,-0.16075437926489483,18,20
ILI incidence,2,RIVM,KFdlm,RIVM-KFdlm,5845.074853945899,295.5787397027143,-0.4268332577369215,88,21
ILI incidence,2,ISI,LSTFlu,ISI-LSTFlu,592.234792179697,749.0659327183093,-0.5564259503055413,77,22
ILI incidence,2,NotreDame,Rt_cocirc,NotreDame-Rt_cocirc,587.2462749360614,609.2735294117647,-1.637628986283234,34,23
ILI incidence,3,MRC_GIDA,Prophet,MRC_GIDA-Prophet,190.337282309432,330.74703615080386,1.0272873499575523,9,1
ILI incidence,3,ISI,FluABCaster,ISI-FluABCaster,294.58758129611283,341.6522928235952,0.6603234808217822,55,2
ILI incidence,3,respicast,hubEnsemble,respicast-hubEnsemble,221.5521644163421,321.0369938939237,0.5189004679264785,67,3
ILI incidence,3,ISI,FluBcast,ISI-FluBcast,310.73946954763596,424.4945685376775,0.4082909095403832,46,4
ILI incidence,3,safinea,PRFM,safinea-PRFM,393.2707544052622,481.47561642811246,0.3529306810964569,66,5
ILI incidence,3,QMUL,SEIR,QMUL-SEIR,332.70060583438186,405.83827589015795,0.3464526261622375,46,6
ILI incidence,3,ECDC,SARIMA,ECDC-SARIMA,298.96123805948025,409.2842168311306,0.3368671861483307,37,7
ILI incidence,3,ItaLuxColab,EpiEKF,ItaLuxColab-EpiEKF,231.95948817059846,336.6849634836408,0.2973122013969634,67,8
ILI incidence,3,ECDC,soca_simplex,ECDC-soca_simplex,242.8496123132222,314.2314804800337,0.24441741375564688,41,9
ILI incidence,3,ISI,RespiVAR,ISI-RespiVAR,358.7484102600867,557.2173913043474,0.13366466857666162,46,10
ILI incidence,3,ItaLuxColab,EpiNetEKF,ItaLuxColab-EpiNetEKF,311.0922394680722,520.8232493014592,0.08090436535960412,61,11
ILI incidence,3,respicast,quantileBaseline,respicast-quantileBaseline,230.495202190782,321.43017975627544,0,67,12
ILI incidence,3,MIGHTE,jointGBM,MIGHTE-jointGBM,239.70078207462367,353.939255305703,-0.038799838299052807,47,13
ILI incidence,3,MRC_GIDA,TiDE,MRC_GIDA-TiDE,457.2466526253897,657.2663155061148,-0.13397816828882025,9,14
ILI incidence,3,ISI,GLEAM,ISI-GLEAM,319.4510715719064,354.9926923076923,-0.2052282758254475,26,15
ILI incidence,3,QMUL,ARIMA,QMUL-ARIMA,488.86175668134996,590.9583041255063,-0.24016569440957167,42,16
ILI incidence,3,MRC_GIDA,NBEATS,MRC_GIDA-NBEATS,522.5472067396445,564.1146077587337,-0.2754406992594859,9,17
ILI incidence,3,MRC_GIDA,NHiTS,MRC_GIDA-NHiTS,485.46776356027044,576.4651386517045,-0.34537414339887235,9,18
ILI incidence,3,QMUL,SEIR_agumented,QMUL-SEIR_agumented,371.18176985964817,429.34258598376084,-0.40313152105367933,32,19
ILI incidence,3,ISI,LSTFlu,ISI-LSTFlu,819.8610622746759,1075.4539730970166,-0.5530512026244254,56,20
ILI incidence,3,RIVM,KFdlm,RIVM-KFdlm,52563.82106370205,661.4757642106554,-0.6560529453206465,65,21
ILI incidence,3,NotreDame,Rt_cocirc,NotreDame-Rt_cocirc,778.832557472826,801.56875,-1.6950191307155005,16,22
ILI incidence,4,MRC_GIDA,Prophet,MRC_GIDA-Prophet,169.12881692615235,278.9728946266995,1.0651879952239252,9,1
ILI incidence,4,ISI,FluABCaster,ISI-FluABCaster,195.00380355900734,237.44985492528352,0.7094575894963421,35,2
ILI incidence,4,ISI,FluBcast,ISI-FluBcast,340.51234867160724,450.441654873089,0.6458923777080882,28,3
ILI incidence,4,respicast,hubEnsemble,respicast-hubEnsemble,183.96860166766058,246.48907545198472,0.3793163586687503,42,4
ILI incidence,4,ECDC,SARIMA,ECDC-SARIMA,234.29745375038556,349.76169189305165,0.3007887644065868,14,5
ILI incidence,4,safinea,PRFM,safinea-PRFM,362.15539875600155,442.4646971332668,0.2720251312222427,42,6
ILI incidence,4,ECDC,soca_simplex,ECDC-soca_simplex,216.72638292249061,273.580106888011,0.2627691473094793,18,7
ILI incidence,4,ItaLuxColab,EpiEKF,ItaLuxColab-EpiEKF,209.1439497140642,250.31910953708845,0.13050900503152277,42,8
ILI incidence,4,MRC_GIDA,TiDE,MRC_GIDA-TiDE,176.97528392981974,209.2889838297243,0.044953205319506605,9,9
ILI incidence,4,QMUL,SEIR,QMUL-SEIR,350.91290546158007,419.7192993017347,0.008518084730918264,28,10
ILI incidence,4,respicast,quantileBaseline,respicast-quantileBaseline,187.24006524829477,221.22419280504377,0,42,11
ILI incidence,4,ISI,RespiVAR,ISI-RespiVAR,181.50174669534178,282.2793103448278,-0.012643283537052968,29,12
ILI incidence,4,MRC_GIDA,NHiTS,MRC_GIDA-NHiTS,253.84295210766712,340.15139881018155,-0.09687981547725709,9,13
ILI incidence,4,ItaLuxColab,EpiNetEKF,ItaLuxColab-EpiNetEKF,303.0821007634488,504.33183398040313,-0.10848458436172638,39,14
ILI incidence,4,ISI,GLEAM,ISI-GLEAM,391.58748571428566,411.7914285714285,-0.17274812390217056,14,15
ILI incidence,4,MIGHTE,jointGBM,MIGHTE-jointGBM,299.72428971380805,409.31637279066433,-0.31063624968565934,30,16
ILI incidence,4,MRC_GIDA,NBEATS,MRC_GIDA-NBEATS,375.9786944624897,434.87965197964564,-0.3833835088707804,9,17
ILI incidence,4,QMUL,ARIMA,QMUL-ARIMA,574.9640487453598,733.4400480913226,-0.6821206410006122,24,18
ILI incidence,4,ISI,LSTFlu,ISI-LSTFlu,1544.0072341984444,1919.3823615708284,-0.8075397583974162,33,19
ILI incidence,4,QMUL,SEIR_agumented,QMUL-SEIR_agumented,420.1783579246701,492.5598357792351,-0.9969172637272062,19,20
ILI incidence,4,RIVM,KFdlm,RIVM-KFdlm,161080.05707360688,458.01602230399794,-1.184426273291574,41,21
